@RELATION awards

@ATTRIBUTE year DATE "yyyy"
@ATTRIBUTE runtime NUMERIC
@ATTRIBUTE budget NUMERIC
@ATTRIBUTE revenue NUMERIC
@ATTRIBUTE averagerating NUMERIC
@ATTRIBUTE numvotes NUMERIC
@ATTRIBUTE class NUMERIC
@ATTRIBUTE nominations NUMERIC

@DATA
1938, 264, 215000000, 89289900, 7, 140, 0, 0
1993, 130, 25000000, 56505100, 7.8, 102782, 0, 2
1954, 207, 2000000, 269061, 8.7, 248602, 5, 6
1921, 60, 20000000, 4002960, 6.4, 10, 0, 0
1985, 115, 6900000, 41400000, 7.3, 42554, 2, 1
1994, 102, 2000000, 11546500, 7.6, 36829, 3, 1
1995, 134, 55000000, 37600400, 5.9, 58626, 0, 0
1955, 13, 150000000, 63143800, 6.8, 109, 0, 0
1989, 88, 11000000, 13903300, 5.5, 580, 0, 0
1985, 109, 10000000, 33000000, 6.9, 10077, 0, 2
1931, 85, 50000000, 52752500, 7.2, 29, 0, 0
1990, 135, 30000000, 122013000, 7.6, 151390, 2, 6
1949, 79, 1300000, 354704, 6.9, 1086, 0, 0
1984, 5, 22000000, 217631000, 7.1, 246, 0, 0
1993, 96, 17000000, 42660000, 4.8, 26453, 0, 1
1993, 118, 11000000, 9170210, 7.8, 182178, 6, 5
1988, 94, 4000000, 13008900, 7.3, 82044, 0, 3
1995, 92, 25000000, 14946200, 6.5, 588, 0, 1
1960, 30, 45000000, 130513000, 7.5, 26174, 1, 1
1993, 98, 15000000, 4006910, 4.7, 134, 0, 0
1995, 94, 250000, 1977540, 6.5, 3733, 0, 1
1967, 131, 150000000, 167007000, 5.2, 23092, 0, 3
1995, 115, 14000000, 3100650, 7.5, 52, 0, 0
1921, 68, 60000000, 69688400, 8.3, 77633, 0, 1
1980, 92, 20000000, 43818200, 5.4, 11185, 0, 2
1969, 68, 34200000, 163480000, 5.9, 7, 0, 0
1908, 9, 18000000, 3752720, 5.2, 29, 0, 0
1987, 94, 1000000, 14564000, 7, 82165, 2, 6
1990, 118, 40000000, 87666600, 7.4, 312983, 5, 11
1945, 12, 37000000, 92173200, 5.8, 42, 0, 0
1995, 107, 20000000, 7564000, 6.2, 57470, 0, 0
1994, 128, 55000000, 83000000, 6, 38846, 2, 2
1917, 71, 30000000, 64172300, 6.5, 24, 0, 0
1935, 56, 175000000, 161087000, 4.8, 83, 0, 0
1925, 71, 72000000, 75600000, 7.2, 167, 0, 0
1990, 0, 7000000, 14003100, 4.4, 28, 0, 0
1910, 16, 33000000, 8326040, 6.8, 6, 0, 0
1995, 0, 150000000, 114054000, 4.4, 82, 0, 0
1989, 104, 55000000, 63408600, 6.3, 80447, 0, 3
1967, 78, 175000000, 362645000, 7.6, 133694, 4, 3
1973, 125, 56000000, 45860000, 7, 3743, 0, 0
1995, 101, 2500000, 5400000, 8.1, 204149, 1, 7
1985, 95, 40000000, 59068800, 5.7, 59, 0, 0
1964, 99, 52000000, 36385800, 6.8, 550, 0, 0
1917, 24, 1000000, 94596, 7.3, 2478, 0, 0
1993, 96, 28000000, 39514700, 6.7, 66222, 2, 9
1992, 75, 55000000, 166225000, 7, 132, 0, 0
1920, 0, 70000000, 182805000, 7.6, 8, 0, 0
1939, 65, 2883850, 25000000, 6.8, 204, 0, 0
1979, 100, 10000000, 20384100, 6.1, 23, 0, 1
1989, 90, 10000000, 882290, 6.5, 5098, 0, 0
1961, 152, 6000000, 43650000, 7.6, 77702, 18, 11
1986, 93, 15000000, 8735530, 6.5, 11, 0, 0
1991, 151, 50000000, 127997000, 8.4, 2817, 0, 0
1995, 26, 20000000, 25584700, 7.3, 113, 0, 0
1994, 92, 230000, 3151130, 7.8, 189633, 5, 10
1967, 30, 55000000, 105263000, 7, 677, 0, 0
1993, 91, 2600000, 2850260, 6.2, 5383, 0, 0
1947, 99, 40000000, 14942400, 7.5, 5632, 0, 2
1962, 110, 1100000, 16067000, 7.3, 123160, 1, 4
1962, 104, 25000000, 871527, 6.5, 16, 0, 1
1967, 152, 71500000, 144156000, 6.2, 6683, 4, 14
1974, 202, 13000000, 57300000, 9, 865730, 11, 20
1910, 11, 13000000, 51872400, 5, 9, 0, 0
